 Services,First Name,Last Name,Agency,Title,Service Type,Population,Hours of operation,Street Address,Suite/Floor/Dept./Room,State,City,Zip,Phone,Email,Website,,
CDR,,,"American Recovery Center 
 ",,Chemical dependency recovery: Provides inpatient and outpatient detoxification.,,,"2180 W. Valley Blvd. Pomona, CA",,CA,Pomona,91768,(909) 865-2336(909) 865-1831 fax,,wwwbhs-inc.org/cdrg.htm,,
FB,,,American Red Cross,,"Disaster relief, Meals on Wheels, first aid & CPR classes, international tracing, community service for military personnel, bi-monthly blood drives.",,Mon-Fri 8:30am-4:30pm,376 W. Huntington Dr.,,CA,Arcadia,91007,626.447.2193,,www.redcross.org,,
EES,,,American Red Cross,,"Disaster relief, Meals on Wheels, first aid & CPR classes, international tracing, community service for military personnel, bi-monthly blood drives.",,Mon-Fri 8:30am-4:30pm,376 W. Huntington Dr.,,CA,Arcadia,91007,626.447.2193,,www.redcross.org,,
SS,,,American Red Cross,,"Disaster relief, Meals on Wheels, first aid & CPR classes, international tracing, community service for military personnel, bi-monthly blood drives.",,Mon-Fri 8:30am-4:30pm,376 W. Huntington Dr.,,CA,Arcadia,91007,626.447.2193,,www.redcross.org,,
BH,,,Amy Lynn Heritage Home,,6-Bed Maternity Shelter for Single Pregnant Women,Maternity Homes for Single Women or Women with Children,,27716 Vista Delgado Dr.,,CA,Santa Clarita,91354,661.299.5472,,,,
BH,,,Anaheim Interfaith Shelter- Casa Teresa-Pregnancy Home,,Maternity Homes for Single Women or Women with Children,Maternity Homes for Single Women or Women with Children,,123 W. Maple Ave,,CA,Orange,92856,714.538.4860,,www.casateresa.com,,
BH,,,Anaheim Interfaith Shelter- Casa Teresa-Pregnancy Home,,Maternity Homes for Single Women or Women with Children,Maternity Homes for Single Women or Women with Children,, PO Box 429,,CA,Orange,92856,714.538.4860,,www.casateresa.com,,
EES,,,Angel's Way Maternity Home,,"4-Bed emergency shelter for single pregnant women ages 18 and up. Women can stay until 2-3 months until after giving birth. On-site education, parenting skills, nutrition classes, exercise, and self-improvement. Admission is open to women of any race, religion, nationality, and financial status.","Single, pregnant women ages 18 and up.",,22212 Welby Way ,,CA,Woodland Hills,91303,818.346.2229,,www.angelswayhome.net,,
EES,,,Angel's Way Maternity Home,,"4-Bed emergency shelter for single pregnant women ages 18 and up. Women can stay until 2-3 months until after giving birth. On-site education, parenting skills, nutrition classes, exercise, and self-improvement. Admission is open to women of any race, religion, nationality, and financial status.","Single, pregnant women ages 18 and up.",,PO Box 70,,CA,Woodland Hills,91303,818.346.2229,,www.angelswayhome.net,,
ES,,,Angel's Way Maternity Home,,"4-Bed emergency shelter for single pregnant women ages 18 and up. Women can stay until 2-3 months until after giving birth. On-site education, parenting skills, nutrition classes, exercise, and self-improvement. Admission is open to women of any race, religion, nationality, and financial status.","Single, pregnant women ages 18 and up.",,22212 Welby Way or PO Box 70,,CA,Woodland Hills,91303,818.346.2229,,www.angelswayhome.net,,
FB,,,Angels Who Care,,Food Pantry,,2nd Mon & 4th Thurs,675 White Ave.,,CA,Pomona,91766,951.212.2031,,,,
SS,,,Anne Douglas Center for Rehabilitation Program for Women,,27-bed maternity shelter for single pregnant women addicted to drugs or alcohol.,Single pregnant women addicted to drugs or alcohol.,,310 Winston St.,,CA,Los Angeles,90013,213.614.0743,,,,
BH,,,Anne Douglas Center for Rehabilitation Program for Women,,27-bed maternity shelter for single pregnant women addicted to drugs or alcohol.,Single pregnant women addicted to drugs or alcohol.,,310 Winston St.,,CA,Los Angeles,90013,213.614.0743,,,,
LS,,,Antelope Valley Courthouse,,Self-Help Legal Centers. First 30 people only.,Low-income community,"M, Tue, W, Thurs: 1:30pm-4:30pm",42011 4th Street,West Room 3700,CA,Lancaster,93534,,,,,
FB,,,Antioch Missionary Baptist Church,,Food Bank,,"Every 2nd Tuesday- Registration 9-11am, Distribution at 12pm",2343 San Antonio,,CA,Pomona,91767,909.621.5369,,,,
CM,Linda,Stone-Abrams,Arcadia Mental Health,PSWII,"Medication management, therapy and case management.",Stable mentally ill adults.,Mon-Fri 8am-5pm,301 E. Foothill Blvd,,CA,Arcadia,91006,626.471.6500,lstone@dmh.lacounty.gov,www.dmh.gov,confirmed,
MHS,Linda,Stone-Abrams,Arcadia Mental Health,PSWII,"Medication management, therapy and case management.",Stable mentally ill adults.,Mon-Fri 8am-5pm,301 E. Foothill Blvd,,CA,Arcadia,91006,626.471.6500,lstone@dmh.lacounty.gov,www.dmh.gov,confirmed,
ES,,,Ascencia,,Emergency Housing Program/Shelter,Chronically and Literally Homeless,715am-430pm/M-F,1851 Tyburn St,,CA,Glendale,91204,818-246-7900,,ascenciaca.org,,
PSH ,,,Ascencia,,Scattered Site/Permanent Supportive Housing,Chronically Homeless,7am-4pm/M-F,Scattered Address throughout Glendale,,CA,Glendale,91204,818-246-7900,,ascenciaca.org,,
CM,,,Ascencia,,Case Management,Chronically and Literally Homeless,7am-4pm/M-F,1851 Tyburn St,,CA,Glendale,91204,818-246-7900,,ascenciaca.org,,
SS,,,Ascencia,,Supportive Services,Chronically and Literally Homeless,7am-4pm/M-F,1851 Tyburn St,,CA,Glendale,91204,818-246-7900,,ascenciaca.org,,
E/ES ,,,Ascencia,,Employment Services/Tutoring School Age Children,Chronically and Literally Homeless,7am-4pm/M-F,1851 Tyburn St,,CA,Glendale,91204,818-246-7900,,ascenciaca.org,,
MHS,,,Ascencia,,Trauma Therapy and Psychiatry,Chronically and Literally Homeless,7am-4pm/M-F,1851 Tyburn St,,CA,Glendale,91204,818-246-7900,,ascenciaca.org,,
S+C,,,Ascencia,,Scatter Site/Subsidized Housing,Chronically and Literally Homeless,7am-4pm/M-F,1851 Tyburn St,,CA,Glendale,91204,818-246-7900,,ascenciaca.org,,
EH,,,Ascencia,,Emergency Housing 40 bed emergency housing for families and individuals,Homeless families and Adults,M-W 7am-4pm/Th7am-2pm,1851 Tyburn St,,CA,Glendale,91204,818-246-7900,,ascenciaca.org,,
AC,,,Ascencia,,"Street outreach, case management services specializing in employment, benefits assistance, accessing mental health and addiction services, onsite trauma system lead in Glendale, partner in SPA 2 (SFV) and  SPA 4 (NELA)",Homeless families and Adults and  Chronically and Literally Homeless,M-W 7am-4pm/Th7am-2pm,1851 Tyburn St,,CA,Glendale,91204,818-246-7900,,ascenciaca.org,,
HCS,Elizabeth,Wu,Asian Pacific AIDS Intervention Team,Clinical Case Manager,"Women's health services, children's health services, psychiatric care, mental health services, lab work, counseling, patient navigation, HIV case management, substance abuse counseling, transgender counseling, HIV prevention services, HIV specialty medical treatment, adult medicine, health education, housing case management, benefits counseling, individual/group support, multi-lingual support groups, advocacy, partner services, risk counseling and community outreach.","Services available to all in the community, some are specifically for HIV positive. Call to inquire.","Mon-Fri 10am-6pm, Saturday by appt.",1730 W. Olympic Blvd ,STE 150,CA,Los Angeles,90015,213.553.1830,,www.apaitonline.org,confirmed,
MHS,Elizabeth,Wu,Asian Pacific AIDS Intervention Team,Clinical Case Manager,"Women's health services, children's health services, psychiatric care, mental health services, lab work, counseling, patient navigation, HIV case management, substance abuse counseling, transgender counseling, HIV prevention services, HIV specialty medical treatment, adult medicine, health education, housing case management, benefits counseling, individual/group support, multi-lingual support groups, advocacy, partner services, risk counseling and community outreach.","Services available to all in the community, some are specifically for HIV positive. Call to inquire.","Mon-Fri 10am-6pm, Saturday by appt.",1730 W. Olympic Blvd ,STE 150,CA,Los Angeles,90015,213.553.1830,,www.apaitonline.org,confirmed,
SS,Elizabeth,Wu,Asian Pacific AIDS Intervention Team,Clinical Case Manager,"Women's health services, children's health services, psychiatric care, mental health services, lab work, counseling, patient navigation, HIV case management, substance abuse counseling, transgender counseling, HIV prevention services, HIV specialty medical treatment, adult medicine, health education, housing case management, benefits counseling, individual/group support, multi-lingual support groups, advocacy, partner services, risk counseling and community outreach.","Services available to all in the community, some are specifically for HIV positive. Call to inquire.","Mon-Fri 10am-6pm, Saturday by appt.",1730 W. Olympic Blvd ,STE 150,CA,Los Angeles,90015,213.553.1830,,www.apaitonline.org,confirmed,
CM,Elizabeth,Wu,Asian Pacific AIDS Intervention Team,Clinical Case Manager,"Women's health services, children's health services, psychiatric care, mental health services, lab work, counseling, patient navigation, HIV case management, substance abuse counseling, transgender counseling, HIV prevention services, HIV specialty medical treatment, adult medicine, health education, housing case management, benefits counseling, individual/group support, multi-lingual support groups, advocacy, partner services, risk counseling and community outreach.","Services available to all in the community, some are specifically for HIV positive. Call to inquire.","Mon-Fri 10am-6pm, Saturday by appt.",1730 W. Olympic Blvd ,STE 150,CA,Los Angeles,90015,213.553.1830,,www.apaitonline.org,confirmed,
EES,Elizabeth,Wu,Asian Pacific AIDS Intervention Team,Clinical Case Manager,"Women's health services, children's health services, psychiatric care, mental health services, lab work, counseling, patient navigation, HIV case management, substance abuse counseling, transgender counseling, HIV prevention services, HIV specialty medical treatment, adult medicine, health education, housing case management, benefits counseling, individual/group support, multi-lingual support groups, advocacy, partner services, risk counseling and community outreach.","Services available to all in the community, some are specifically for HIV positive. Call to inquire.","Mon-Fri 10am-6pm, Saturday by appt.",1730 W. Olympic Blvd ,STE 150,CA,Los Angeles,90015,213.553.1830,,www.apaitonline.org,confirmed,
MHS,Bert,Zan,Asian Pacific Family Center,Parent Partner,Provide mental health counselling services.,"Children, adults and older adults.",Mon. Weds. & Fri- 9am-5pm  Tues. & Thurs.-9am-8pm  Sat. 9am-1pm,9353 E. Valley Blvd.,,CA,Rosemead,91770,626.287.2988,,www.pacificclinics.org,confirmed,
HCS,,,Assistance League Pomona Valley,,"Operation School Bell (clothing for needy children in Pomona, Diamond Bar and Claremont. Dental clinic for children in grades 1-12 (must be referred by school nurse). Holiday food baskets, hospital decorations, Cubs for Kids, puppet program for dental health, rape crisis kit.",,"Vary, call for information.", 655 N. Palomares St.,,CA,Pomona,91767,909.629.6142,,,,
FB,,,Assistance League Pomona Valley,,"Operation School Bell (clothing for needy children in Pomona, Diamond Bar and Claremont. Dental clinic for children in grades 1-12 (must be referred by school nurse). Holiday food baskets, hospital decorations, Cubs for Kids, puppet program for dental health, rape crisis kit.",,"Vary, call for information.", 655 N. Palomares St.,,CA,Pomona,91767,909.629.6142,,,,
FB,Roy,Rosell,AYC (Asian Youth Center),Health & Public Policy Manager,Provides educational services for youth. Emergency food assistance program.,,,100 W. Clary Ave.,,CA,San Gabriel,91776,626.731.3314,,www.asianyouthcenter.org,left message 9/25,
EES,Roy,Rosell,AYC (Asian Youth Center),Health & Public Policy Manager,Provides educational services for youth. Emergency food assistance program.,,,100 W. Clary Ave.,,CA,San Gabriel,91776,626.731.3314,,www.asianyouthcenter.org,left message 9/25,
FB,,,Azusa Hispanic Foursquare,,Food Pantry,,Thursday 6-9:00 pm,325 Azusa Ave,,CA,Azusa,91702,626.939.3133,,www.foursquare.org,confirmed,
ES,,,Bad Weather Shelter Hotline,,,,,,,CA,,,888.915.8111,,,,
FB,,,Baldwin Park Bilingual S.D.A.,,Food Pantry,,Wednesday 6-7:30pm,13965 E. Ramona Pkwy,,CA,Baldwin Park,91706,626.338.4828,,,confirmed,
BH,Martin,Barragan,Bassett Adult School/Training Center,,"Housing, clothing assistance (once you have a job) and transportation assistance.",,,943 Sunkist Ave,,CA,El Monte,91746,626.931.3129,,www.bassettadultschool.com,left message 9/25,
SS,Martin,Barragan,Bassett Adult School/Training Center,,"Housing, clothing assistance (once you have a job) and transportation assistance.",,,943 Sunkist Ave,,CA,El Monte,91746,626.931.3129,,www.bassettadultschool.com,left message 9/25,
CA,Martin,Barragan,Bassett Adult School/Training Center,,"Housing, clothing assistance (once you have a job) and transportation assistance.",,,943 Sunkist Ave,,CA,El Monte,91746,626.931.3129,,www.bassettadultschool.com,left message 9/25,
RA,,,Beaver Court Apartments,,Provides affordable senior housing,,Mon-Fri 8:00am-5:00pm.,286 Beaver Ct.,,CA,Pomona,,323.838.8556,,,number didn't work,
CDR,,,"Behavioral Health Services
American Recovery Center
",,"Persons with co-occurring mental and substance abuse disorders; Lesbian, gay, bisexual, or transgender (LGBT) clients; Clients referred from the court/judicial system (other than DUI/DWI); Adolescents; Pregnant/postpartum women; Adult women; Adult men; Persons with HIV or AIDS; Persons who have experienced trauma; Residential beds for client's children; Persons who have experienced sexual abuse; Persons who have experienced intimate partener violence, domestic Violence",,,"West Valley Boulevard Pomona, CA 91768",,CA,Pomona,,909-865-2336,,,,
LS,,,Bet Tzedek,,Free Legal Assistance,Low-income community,,145 S. Fairfax Ave,STE 200,CA,Los Angeles,91606,323.939.0506,,,,
ES,,,Bethany Christian Services,,Maternity Homes for Single Women or Women with Children,,,9556 Flower,STE. 1,CA,Bellflower,90706,,,,,
ES,,,Bethany Christian Services,,Maternity Homes for Single Women or Women with Children,,,14125 Telephone Ave.,Suite 12,CA,Chino,91710,909.465.0057,,,,
BH,,,Bethany Christian Services,,Maternity Homes for Single Women or Women with Children,,,12141 Lewis St. ,4th floor,CA,Garden Grove,92640,714.804.3448,,,,
FB,,,Bethel S.D.A. Church,,Food Pantry,,Weds 5:30-7:30 pm,1921 N. Garey Ave,,CA,,91767,909.521.3143,,,confirmed,
BH,,,Beyond Shelter,,"Families, 42 beds, 4 month, pregnant women, single women or men with children, adult couples with children","Pregnant women, single women or men with children, adult couples with children",,1200 Wilshire Blvd.,,CA,Los Angeles,90017,"213.229.8600
213.252.0772",,www.beyondshelter.org,,
LS,,,"Bezaire, Stephen P Law Office",,Legal Services and solving money problems,Low-income families,,2700 E. Foothill Blvd.,,CA,Pasadena,91107,,,,,
BH,,,Bishop Gallegos Maternity Home,,Maternity Homes for Single Women or Women with Children,Single women or women with children,,PO Box 395,,CA,Fair Oaks,95628,916.395.9370,,www.bgmh.org,,
BH,,,Booth Memorial,,Maternity Homes for Single Women or Women with Children,Single women or women with children,,2670 Griffin Ave.,,CA,Los Angeles,90031,323.225.1586,,,,
SS,,,Boys & Girls Club of Pomona Valley,,"After school program to assist parents. Provide homework assistance, mentoring, and various after school activities such as swimming, summer leagues, basketball, indoor soccer, arts and crafts woodshop, tournaments and other special events.",Children ages 6-17,M-F 2:30pm-6:30pm.,1420 S. Garey Ave.,,CA,Pomona,91766,909.623.8538,,www.bgcpb.org,confirmed,
FB,,,Boys & Girls Club of San Gabriel,,Food Pantry,,Friday 1:30-2:30pm,2740 Mountain View Rd,,CA,El Monte,91732,626.442.5470,,www.wsgvbgc.org,confirmed,
CM/MHS,,,BRIDGES Inc. TruStart,,Case Management and Mental Health Services,,M-F/8am-430pm,6267 Variel Ave,Suite B,CA,Woodland Hills,91367,818-657-0406/Kristin Harkins,,www.bridgesrehab.org,,
O ,,,"BRIDGES, Inc. Casitas Esperanza",,Residential long term social rehabilitation Facility,,24 hours,11927 Elliot Ave,,CA,El Monte,91732,626-350-5304 Daphne Tanori/Lisa Maher,,www.bridgesrehab.org,,
CM/MHS,,,"BRIDGES, Inc. Casitas Esperanza",,Case Management/Mental Health Svcs,,M-F 8:00a.m. to 4:30p.m.,11928 Elliot Ave,,CA,El Monte,91732,626-350-5304/Alanna Jeffrey,,www.bridgesrehab.org,,
O,,,"Bridges, Inc. Hacienda Retirada",,Residential Transitional Social Rehabilitation Facility,,24 Hours,8514 Topanga Canyon Blvd,,CA,Canoga Park,91304,818-884-4622/Guillermo Perez,,www.bridgesrehab.org,,
SS,Curtis,Hsing,Buddhist Tzu Chi Foundation,"Supervisor, Emergency Disaster Services","Social services, Emergency Relief",Homeless or at risk to become homeless individuals and families,M-Sun                 9:a.m.-6:00 p.m.,1100 S. Valley Center Ave.,,CA,San Dimas,91773,909.447.8604,,www.us.tzuchi.org,confirmed,
HCS,,,Buddhist Tzu Chi Free Clinic,,"Limited dental care. Initial visit free, each visit there after $25.","Clinic for the uninsured.  Spanish, Cantonese and Chinese spoken.","Tues-Sat 9:30am-12noon, 1pm-5pm. Call for appointment.",1000 S. Garfield Ave,,CA,Alhambra,91801,626.281.3383,,www.us.tzuchi.org,,
HIV/AIDS SVCS,,,"BIENESTAR HUMAN SERVICES, INC.
 ",,"Non profit serving at risk or those diagnosed with STD and HIV, AIDS Education, Testing, and support groups",,M-F 10:am - 7:00pm 909)397-7660 (909) 397-7661 fax,"180 E. Mission Blvd., Pomona CA",,,,,,,,,
FB,,,CA Department of Corrections,,Food Pantry,"Homeless, Low income families",Wed 8:15am-9:30am,333 E. Walnut Ave,,CA,Pasadena,91101,626.450.6250,,,confirmed,
EES,James,Schickel,CA Department of Veterans Affairs,Regional Collaborative Coordinator,"Benefits Overview, Employment Resources,     Education    Claims Representation, License Plates, Homeless Veterans",Honorably discharged veterans who falls under either category and meet the requirements rated on the job and/or examination announcement are encouraged to apply.,Call for more information,2615 S. Grand Ave.,STE 100,CA,Los Angeles,90007,213.744.4847,,www.calvet.ca.gov,left message 9/25,
SS,James,Schickel,CA Department of Veterans Affairs,Regional Collaborative Coordinator,"Benefits Overview, Employment Resources,     Education    Claims Representation, License Plates, Homeless Veterans",Honorably discharged veterans who falls under either category and meet the requirements rated on the job and/or examination announcement are encouraged to apply.,Call for more information,2615 S. Grand Ave.,STE 100,CA,Los Angeles,90007,213.744.4847,,www.calvet.ca.gov,left message 9/25,
CM,James,Schickel,CA Department of Veterans Affairs,Regional Collaborative Coordinator,"Benefits Overview, Employment Resources,     Education    Claims Representation, License Plates, Homeless Veterans",Honorably discharged veterans who falls under either category and meet the requirements rated on the job and/or examination announcement are encouraged to apply.,Call for more information,2615 S. Grand Ave.,STE 100,CA,Los Angeles,90007,213.744.4847,,www.calvet.ca.gov,left message 9/25,
CM,,,CAL WORKS,,General Information,,,,,CA,,,877.597.4777,,,,
SS,,,CAL WORKS,,General Information,,,,,CA,,,877.597.4777,,,,
FB,DeLlora,Ellis-Grant,CalFresh Nutrition Program,Administrator 1,The program issues monthly electronic benefits that can be used to buy most foods at many markets and food stores.,Service based on income level,,,,CA,City of Industry,,866.613.3777,delloraellis-gant@dpss.lacounty.gov,www.calfresh.ca.gov,confirmed,
FB,,,California Drug Counseling Inc.,,Food Pantry,Homeless or at risk become homeless,Mon-Fri 9am-4:30pm,659 E. Walnut Ave,,CA,Pasadena,91101,626.513.4799,,,confirmed,
BH,,,California Hispanic Commission on Alcoholic and Drug Abuse (CHCADA),,Pick up for year round shelter program,,,11411 Valley Blvd,,CA,El Monte,91773,626.444.9000,,,,
UA,Clare,Chad,California Lifeline Program,,Provides discounted local home phone services to low income families,*this is for agencies only-- they do not deal with consumers.,Mon-Fri 8am-5pm,,,CA,,,310.498.8886,,www.cpuc.ca.gov,confirmed,
FB,,,Canyon Christian Fellowship,,Food Pantry,,Mon 6pm-8pm,405 N. Azusa Ave,,CA,Azusa,91702,626.922.3076,,,,
HCS,Amanda,Blake Secola,"Care More 
""it's what we do""",Business Development Specialist,"A Senior Focused
Health Care Delivery System",,,12900 Park Plaza Dr.,Suite 150,CA,Cerritos,90703,562.412.5851,,www.caremore.com,left message 9/25,
SS,,,Career Partners Rosemead Work Source Center,,,"Adults, dislocated workers, youth and business.",,3505 N. Hart Ave,,CA,Rosemead,91770,626.572.7272,,www.careerpartners.org,,
BH,,,Casa Bienvenidos Home,,Maternity Homes for Single Women or Women with Children,Single women or women with children,,PO Box 216,,CA,Los Alamitos,90702,310.594.6825,,,,
HCS,Bonnie,Scudder,"Casa Colina, Inc..",Chief Planning & Development Officer,,,,255 East Bonita Ave.,,CA,Pomona,91769,"909.596.7733

Toll Free
866.724.4127 ",bscudder@casacolina.org,www.casacolina.org,left message 9/25,
CM,,,Casa De Los Angelitos,,"6-Bed shelter for single pregnant women ages 18 and up, no other children, women can stay until 3 moths after giving birth, case management, counseling, parenting skills, and classes in Lamzae and breastfeeding. To provide a safe, secure residence for pregnant women age 18 and over to provide a program of acquiring the knowledge and skills necessary for parenting and independent living.",Single pregnant women ages 18 and up.,,954 Koleeta Dr.,,CA,Harbor City,90714,310.325.8208,,www.casadelosangelitos.org,,
BH,,,Casa De Los Angelitos,,"6-Bed shelter for single pregnant women ages 18 and up, no other children, women can stay until 3 moths after giving birth, case management, counseling, parenting skills, and classes in Lamzae and breastfeeding. To provide a safe, secure residence for pregnant women age 18 and over to provide a program of acquiring the knowledge and skills necessary for parenting and independent living.",Single pregnant women ages 18 and up.,,954 Koleeta Dr.,,CA,Harbor City,90714,310.325.8208,,www.casadelosangelitos.org,,
MHS,,,Casa De Los Angelitos,,"6-Bed shelter for single pregnant women ages 18 and up, no other children, women can stay until 3 moths after giving birth, case management, counseling, parenting skills, and classes in Lamzae and breastfeeding. To provide a safe, secure residence for pregnant women age 18 and over to provide a program of acquiring the knowledge and skills necessary for parenting and independent living.",Single pregnant women ages 18 and up.,,954 Koleeta Dr.,,CA,Harbor City,90714,310.325.8208,,www.casadelosangelitos.org,,
EES,,,Casa De Los Angelitos,,"6-Bed shelter for single pregnant women ages 18 and up, no other children, women can stay until 3 moths after giving birth, case management, counseling, parenting skills, and classes in Lamzae and breastfeeding. To provide a safe, secure residence for pregnant women age 18 and over to provide a program of acquiring the knowledge and skills necessary for parenting and independent living.",Single pregnant women ages 18 and up.,,954 Koleeta Dr.,,CA,Harbor City,90714,310.325.8208,,www.casadelosangelitos.org,,
CA,Mary,Romero,Catholic Charities,Regional Director San Gabriel,"Basic needs assistance: food, clothing, transportation, utilities, rental and move in(when funds are available). Parenting classes, exercise classes, special events coordination for the community, enrollment for Calfresh in East LA and El Monte.",Low income or homeless individuals/families.,Mon-Fri 9am-1pm, 4171 N Tyler Ave,,CA,El Monte,91731,626.575.7652,,www.catholiccharitiesla.org,confirmed,
FB,Mary,Romero,Catholic Charities,Regional Director San Gabriel,"Basic needs assistance: food, clothing, transportation, utilities, rental and move in(when funds are available). Parenting classes, exercise classes, special events coordination for the community, enrollment for Calfresh in East LA and El Monte.",Low income or homeless individuals/families.,Mon-Fri 9am-1pm,4171 N Tyler Ave,,CA,El Monte,91731,626.575.7652,,www.catholiccharitiesla.org,confirmed,
SS,Mary,Romero,Catholic Charities,Regional Director San Gabriel,"Basic needs assistance: food, clothing, transportation, utilities, rental and move in(when funds are available). Parenting classes, exercise classes, special events coordination for the community, enrollment for Calfresh in East LA and El Monte.",Low income or homeless individuals/families.,Mon-Fri 9am-1pm, 4171 N Tyler Ave,,CA,El Monte,91731,626.575.7652,,www.catholiccharitiesla.org,confirmed,
