StreetAddress,City,State,Zip,AUTO_UNIQUE_ID_2016-07-07_marky_r_dop_services,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType,CensusYear,CensusPlaceFips,CensusMsaFips,CensusMetDivFips,CensusMcdFips,CensusCbsaMicro,CensusCbsaFips,CensusBlock,CensusBlockGroup,CensusTract,CensusCountyFips,CensusStateFips,naaccrCertCode,naaccrCertType
1006 S. Garey Ave.,Pomona,CA,91768,19,USCGeocoder,56,1,4.1,,c8f314d1-29e0-45fa-a544-e4fccea36745,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2320.2309708702,LinearInterpolationAddressRange,StreetSegment,96.0059171598,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.0505116366,-117.7497779273,Relaxed,TwoThousandTen,58072,4472,31084,90810,0,31100,1006,1,4028.03,37,6,1,ResidenceStreetAddress
101 S. First St.,Alhambra,CA,91801,20,USCGeocoder,143,1,4.1,,cdfbaffe-9a28-4e43-b10d-7f68666ff5f5,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3989.7824691874,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.09377559,-118.1273938404,Exact,TwoThousandTen,884,4472,31084,93200,0,31100,1003,1,4810.01,37,6,1,ResidenceStreetAddress
10155 Colima Rd.,Whittier,CA,90603,21,USCGeocoder,11,1,4.1,,de181df2-203a-4c24-b925-388499062356,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,3835.202282528,ArealInterpolationGeometricCentroid,Parcel,98.4023668639,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,33.9437036966,-118.0110245397,Relaxed,TwoThousandTen,85292,4472,31084,93730,0,31100,1009,1,5033.01,37,6,1,ResidenceStreetAddress
1020 N. Fair Oaks Ave,Pasadena,CA,91103,22,USCGeocoder,107,1,4.1,,2423f93a-e662-40d7-bf51-bd7c3e636507,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,4950.7891656663,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.1636741478,-118.1505381466,Exact,TwoThousandTen,56000,4472,31084,92400,0,31100,1003,1,4620.02,37,6,1,ResidenceStreetAddress
1020 S. Arroyo Pkwy,Pasadena,CA,91105,23,USCGeocoder,113,1,4.1,,6ea7208e-09c2-4e5e-a9b1-429cbc265047,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,12369.6594987204,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.1296790746,-118.1471903432,Exact,TwoThousandTen,56000,4472,31084,92400,0,31100,5012,5,4640,37,6,1,ResidenceStreetAddress
10252 Mills Ave,Whittier,CA,90604,24,USCGeocoder,37,1,4.1,,6cac55ed-3148-4e7f-b445-acff464335db,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,8693.3872493953,ArealInterpolationGeometricCentroid,Parcel,99.3076923077,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,33.9389974575,-118.0337486505,Relaxed,TwoThousandTen,73430,4472,31084,93730,0,31100,1004,1,5032.02,37,6,1,ResidenceStreetAddress
10414 Vacco St.,South El Monte,CA,91733,25,USCGeocoder,38,1,4.1,,64e53bdd-caa5-4bfe-a91d-118196339aa4,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,6357.2026543617,ArealInterpolationGeometricCentroid,Parcel,98.4023668639,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.0468697765,-118.0443749423,Relaxed,TwoThousandTen,72996,4472,31084,93510,0,31100,1011,1,4337,37,6,1,ResidenceStreetAddress
1050 N. Garey Ave,Pomona,CA,91768,26,USCGeocoder,17,1,4.1,,5e35d6ec-163b-40ab-8669-cf001a5d51fb,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,1405.019555902,ArealInterpolationGeometricCentroid,Parcel,98.875739645,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.0684189264,-117.7517191542,Relaxed,TwoThousandTen,58072,4472,31084,90810,0,31100,4003,4,4026,37,6,1,ResidenceStreetAddress
1055 W. 7th St.,Los Angeles,CA,90017,27,USCGeocoder,55,1,4.1,,984ec548-2f92-48bb-b589-b96710fb4c3a,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3116.934953552,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.0506345254,-118.2633339568,Exact,TwoThousandTen,44000,4472,31084,91750,0,31100,1030,1,2092,37,6,1,ResidenceStreetAddress
1055 Wilshire Blvd..,Los Angeles,CA,90017,28,USCGeocoder,2,1,4.1,,70a10b18-14c4-4fce-a6b8-fb1d2b3c9226,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,3676.6507063657,ArealInterpolationGeometricCentroid,Parcel,99.1568047337,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.0525468864,-118.2627374993,Relaxed,TwoThousandTen,44000,4472,31084,91750,0,31100,1013,1,2092,37,6,1,ResidenceStreetAddress
1066 Garey Ave,Pomona,CA,91766,29,USCGeocoder,39,1,4.1,,b95e685b-0ae2-4e4e-8519-2b7732db24c5,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2320.2309708702,LinearInterpolationAddressRange,StreetSegment,97.9289940828,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.0499637578,-117.7497597455,Relaxed,TwoThousandTen,58072,4472,31084,90810,0,31100,1006,1,4028.03,37,6,1,ResidenceStreetAddress
107 Spring Street,Claremont,CA,91711,30,USCGeocoder,38,1,4.1,,27659a11-ebf8-4d6e-9d65-de480b25f191,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2437.1148462202,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.0930784131,-117.7167466234,Exact,TwoThousandTen,13756,4472,31084,90810,0,31100,2000,2,4020.02,37,6,1,ResidenceStreetAddress
109 W. Sixth St.,Azusa,CA,91702,31,USCGeocoder,65,1,4.1,,81bb4aab-4fcc-432f-bc91-c79babe5d25e,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1455.8845976323,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.1317388725,-117.9076523643,Exact,TwoThousandTen,3386,4472,31084,90810,0,31100,3007,3,4043.01,37,6,1,ResidenceStreetAddress
1095 W. Grand aver,Pomona,CA,91766,32,USCGeocoder,73,1,4.1,,a618445d-529d-4764-b33f-9cc17cdde2ae,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,0,34.041268,-117.761339,Exact,TwoThousandTen,58072,4472,31084,90810,0,31100,3002,3,4030,37,6,4,ResidenceZIP
10953 Ramona Blvd,El Monte,CA,91731,33,USCGeocoder,6,1,4.1,,26b5b11d-4f67-4a93-8233-30f380d054e5,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,13976.5555065274,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.0724336703,-118.037224946,Relaxed,TwoThousandTen,22230,4472,31084,93510,0,31100,2034,2,4327,37,6,1,ResidenceStreetAddress
110 E. 3rd St,San Dimas,CA,91733,34,USCGeocoder,67,1,4.1,,e476ba30-1f98-47b3-9430-e3f12c9fab05,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1476.4438395016,LinearInterpolationAddressRange,StreetSegment,92.0118343195,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.1096008482,-117.806863,Relaxed,TwoThousandTen,66070,4472,31084,90810,0,31100,4010,4,4003.04,37,6,1,ResidenceStreetAddress
1100 E .Holt Ave.,Pomona,CA,91767,35,USCGeocoder,23,1,4.1,,e22fa2bd-27cc-431a-b724-073daad63f27,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,807.3280265694,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.0628030791,-117.7292849429,Exact,TwoThousandTen,58072,4472,31084,90810,0,31100,3001,3,4027.02,37,6,1,ResidenceStreetAddress
1100 S. Valley Center Ave.,San Dimas,CA,91773,36,USCGeocoder,43,1,4.1,,0ac5ce46-4ce2-48d4-96cb-e08b63307ba7,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,6029.1175429225,ArealInterpolationGeometricCentroid,Parcel,98.4023668639,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.0895626402,-117.8361238633,Relaxed,TwoThousandTen,66070,4472,31084,90810,0,31100,2011,2,4013.12,37,6,1,ResidenceStreetAddress
11015 Bloomfield Ave,Santa Fe Springs,CA,90670,37,USCGeocoder,13,1,4.1,,e76e4bf0-ff36-42c6-bb46-dd1ca9fdd698,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,10318.0078181401,ArealInterpolationGeometricCentroid,Parcel,98.4023668639,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,33.9310521384,-118.0645766384,Relaxed,TwoThousandTen,69154,4472,31084,93730,0,31100,2019,2,5028.02,37,6,1,ResidenceStreetAddress
1102 Crenshaw Blvd.,Los Angeles,CA,90019,38,USCGeocoder,2,1,4.1,,70d40904-f6c7-4985-8010-d78a7704ffc5,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,4096.5861991048,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.0524795834,-118.3237483045,Relaxed,TwoThousandTen,44000,4472,31084,91750,0,31100,2000,2,2129,37,6,1,ResidenceStreetAddress
11046 Valley Mall,El Monte,CA,91731,39,USCGeocoder,30,1,4.1,,991da2a8-7328-47c6-8886-c961af18462c,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,633.3998798132,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.0730652977,-118.0342538546,Relaxed,TwoThousandTen,22230,4472,31084,93510,0,31100,2032,2,4327,37,6,1,ResidenceStreetAddress
11126 Ramona Blvd.,El Monte,CA,91731,40,USCGeocoder,34,1,4.1,,9c8171b1-7095-4c87-9f0a-8d894ce983d3,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,4719.2231873274,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.0727734212,-118.0303621222,Relaxed,TwoThousandTen,22230,4472,31084,93510,0,31100,1005,1,4332,37,6,1,ResidenceStreetAddress
1115 S. Sunset Ave.,West Covina,CA,91790,41,USCGeocoder,28,1,4.1,,c6475170-af05-401d-8d9c-37fcb121c174,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,39327.8402807117,ArealInterpolationGeometricCentroid,Parcel,98.4023668639,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.0648654776,-117.9463060968,Relaxed,TwoThousandTen,84200,4472,31084,90810,0,31100,1022,1,4067.02,37,6,1,ResidenceStreetAddress
11234 E Valley Blvd,El Monte,CA,91731,42,USCGeocoder,19,1,4.1,,17d65d23-28f7-423c-b457-78f95037d94c,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,18297.3878403902,ArealInterpolationGeometricCentroid,Parcel,95.2662721893,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.0713826736,-118.0322190838,Relaxed,TwoThousandTen,22230,4472,31084,93510,0,31100,1006,1,4332,37,6,1,ResidenceStreetAddress
11301 Wilshire Blvd.,Los Angeles,CA,90073,43,USCGeocoder,139,1,4.1,,eaab40b4-e481-4543-992c-23e31e1a66a8,10,POBoxZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,0,34.052501,-118.455227,Exact,TwoThousandTen,44000,4472,31084,91750,0,31100,1033,1,7011,37,6,5,POBoxZIP
11411 Valley Blvd,El Monte,CA,91773,44,USCGeocoder,14,1,4.1,,e6ca511a-0fa1-4030-bbbf-44792a445508,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,5591.4143038094,ArealInterpolationGeometricCentroid,Parcel,98.3431952663,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.0702303245,-118.0286267373,Relaxed,TwoThousandTen,22230,4472,31084,93510,0,31100,1013,1,4332,37,6,1,ResidenceStreetAddress
1142 S. Diamond Bar Blvd.,Diamond Bar,CA,91765,45,USCGeocoder,98,1,4.1,,9d6c62c0-72ed-4131-9008-5a51c27a08bf,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,6231.0178053696,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.0016841359,-117.8105044956,Exact,TwoThousandTen,19192,4472,31084,90810,0,31100,1014,1,4033.2,37,6,1,ResidenceStreetAddress
11429 Valley Blvd,El Monte,CA,91731,46,USCGeocoder,11,1,4.1,,4e0826f0-463d-4a34-8b56-b8fdfa0d0d28,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,1794.3557569981,ArealInterpolationGeometricCentroid,Parcel,99.4082840237,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,34.0698816885,-118.0284967404,Relaxed,TwoThousandTen,22230,4472,31084,93510,0,31100,1013,1,4332,37,6,1,ResidenceStreetAddress
11457 East Florence Ave,Santa Fe Springs,CA,90670,47,USCGeocoder,18,1,4.1,,01e62d1f-ea6c-4a5a-b3c5-b52d7450f50a,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2183.3777851365,LinearInterpolationAddressRange,StreetSegment,97.9289940828,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,33.9353399486,-118.0887134228,Relaxed,TwoThousandTen,69154,4472,31084,93730,0,31100,4022,4,5028.01,37,6,1,ResidenceStreetAddress
1150 W. Holt Ave,Pomona,CA,91768,48,USCGeocoder,33,1,4.1,,792d8b8e-603f-4f70-baff-4e48c313347d,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2567.3279418324,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.0618333621,-117.7688489642,Exact,TwoThousandTen,58072,4472,31084,90810,0,31100,1000,1,4024.02,37,6,1,ResidenceStreetAddress
1150 West Holt Ave,Pomona,CA,91768,49,USCGeocoder,6,1,4.1,,d3e29a6b-ab02-4e68-b40e-2f63b0a39d4a,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2567.3279418324,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.0618333621,-117.7688489642,Exact,TwoThousandTen,58072,4472,31084,90810,0,31100,1000,1,4024.02,37,6,1,ResidenceStreetAddress
1160 S Grand,Glendora,CA,91740,50,USCGeocoder,46,1,4.1,,38714daf-043a-47fe-ae0a-6ba4ab64e678,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2222.2428060088,LinearInterpolationAddressRange,StreetSegment,97.0414201183,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,34.1176049036,-117.8724679719,Relaxed,TwoThousandTen,30014,4472,31084,90810,0,31100,1000,1,4039.02,37,6,1,ResidenceStreetAddress
